학원/교습소,학원명,도로명주소,개설일자,적재일시,위도,경도
학원,엠아이어학원,서울특별시 강남구 선릉로 305,20061010,20230627,37.493275250000000,127.05232743955300
학원,엔에프에이(NFA)학원,서울특별시 강남구 영동대로50길 10,20061010,20230627,37.4989341,127.0706254
교습소,은하수미술교습소,서울특별시 강남구 역삼로 306,20061002,20230627,37.4989726,127.0469391
학원,세계로학원,서울특별시 강남구 도곡로 430,20061017,20230627,37.497513,127.05758893260000
학원,개념상상학원,서울특별시 강남구 도곡로 418,20061230,20230730,37.49699445,127.05630455
학원,우리들판미술학원,서울특별시 강남구 영동대로 219,20021007,20230627,37.498364000000000,127.06834275867400
학원,케이엔에스(KNS)영어학원,서울특별시 강남구 삼성로 238,20061107,20230627,37.4986054,127.06143261150700
교습소,참소리피아노교습소,서울특별시 강남구 언주로 110,20061102,20230627,37.48311185,127.05300961301400
교습소,윤선생영어교습소,서울특별시 강남구 역삼로70길 28,20061017,20230627,37.5003575,127.0545943
학원,백상국어학원,서울특별시 강남구 삼성로 348,20061114,20230627,37.5067233,127.0566608
학원,디자인센트럴학원,서울특별시 강남구 논현로79길 56,20061117,20230627,37.4962553,127.0343708
학원,비스컴디자인학원,서울특별시 강남구 압구정로4길 27-3,20061117,20230627,37.5213482,127.0200999
학원,가야건축인테리어학원,서울특별시 강남구 테헤란로1길 28-13,20020822,20230627,37.5001711,127.0274709
학원,천개의고원중3고등관학원,서울특별시 강남구 삼성로 307,20061129,20230627,37.49941815,127.06031863028000
학원,수앤수수학학원,서울특별시 강남구 삼성로67길 22,20061130,20230627,37.5002957,127.0563369
학원,만지학원,서울특별시 강남구 삼성로 348,20061130,20230627,37.5067233,127.0566608
학원,케이엔에스에듀초중등1관어학원,서울특별시 강남구 도곡로 517,20061211,20230627,37.5001816,127.0648724
학원,대치해냄학원,서울특별시 강남구 삼성로71길 12,20061204,20230627,37.5021519,127.0579979
학원,김태호과학학원,서울특별시 강남구 도곡로77길 7,20061215,20230627,37.49881705,127.05839936172500
학원,대치베스트다빈치2관학원,서울특별시 강남구 역삼로64길 20,20061215,20230627,37.5004967,127.052971
학원,악어코딩학원,서울특별시 강남구 역삼로64길 11,20061215,20230730,37.5004967,127.052971
학원,선경어학원,서울특별시 강남구 남부순환로 2936,20061215,20230627,37.4933484,127.0618811053220
학원,새밝보습학원,서울특별시 강남구 역삼로 458,20061226,20230627,37.4971992,127.041991
학원,패러곤보습학원,서울특별시 강남구 남부순환로 3032,20061229,20230627,37.4979579,127.0846934
학원,글로벌퍼스트학원,서울특별시 강남구 삼성로57길 19,20070105,20230627,37.49759875,127.05955160000000
학원,더발레아카데미발레학원,서울특별시 강남구 논현로 838,20070110,20230627,37.5272651,127.0283095
학원,디비니티에듀보습학원,서울특별시 강남구 언주로 118,20070110,20230627,37.5127061,127.0355919
학원,강남백합음악학원,서울특별시 강남구 개포로109길 5,20070111,20230627,37.4923339,127.07461350554300
교습소,일원이해법수학교습소,서울특별시 강남구 광평로10길 50,20070115,20230627,37.4827048,127.0799026
학원,아트정글미술학원,서울특별시 강남구 선릉로132길 41,20070119,20230627,37.5185171,127.0442398
학원,원인학원,서울특별시 강남구 선릉로 310,20070207,20230627,37.5290401,127.041123
