,인허가일자,폐업일자,사업장명,도로명주소,Latitude,Longitude
179,2018-03-20,,끌레르봉봉(clair bonbon),서울특별시 강남구 논현로114길 8,37.5085177,127.0340766
180,2017-03-03,,던킨도너츠 수서역점,서울특별시 강남구 광평로 지하,37.4856844,127.0958859
181,2017-12-15,,비비엘프로젝트,서울특별시 강남구 테헤란로 517,37.5085949,127.0597186
182,2017-08-16,,스타벅스 강남오거리점,서울특별시 강남구 봉은사로2길 39,37.5020948,127.0266668
183,2014-02-25,,스타벅스커피 코엑스몰점,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
184,2018-05-03,,(주)라트라팡테 아오이토리,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
185,2015-12-01,,김밥친구들 선릉역점,서울특별시 강남구 테헤란로 지하,37.5041073,127.0475882
186,2015-03-10,,브레댄코 선릉역점,서울특별시 강남구 테헤란로 지하,37.5041073,127.0475882
187,2017-02-24,,씨유 논현강남점,서울특별시 강남구 선릉로131길 25,37.5171412,127.0389353
188,2017-08-14,,스타벅스 강남R점,서울특별시 강남구 강남대로 390,37.4978461,127.0286372
189,2014-08-12,,고구마명가 강남구청역점,서울특별시 강남구 학동로 지하,37.5167317,127.042221
190,2011-11-29,,언노운커피,서울특별시 강남구 테헤란로5길 11,37.4995267,127.0292602
191,2017-04-18,,젤라리소압구정미성점,서울특별시 강남구 압구정로 113-22,37.5247099,127.0196554
192,2014-07-28,,스타벅스커피 서울세관사거리점,서울특별시 강남구 언주로 650,37.5150307,127.0359349
193,2017-03-10,,불티나 봉평메밀 막국수,서울특별시 강남구 개포로82길 5-8,37.4888805,127.0676513
194,2017-05-01,,스타벅스 스타필드코엑스몰R점,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
195,2001-04-12,,버거킹수서점,서울특별시 강남구 광평로 280,37.4873264,127.1031402
196,2005-03-07,,스타벅스큰길타워점,서울특별시 강남구 테헤란로 223,37.5023658,127.0407171
197,2013-04-19,,스타벅스 삼성교점,서울특별시 강남구 영동대로86길 12,37.5078241,127.0651891
198,2013-06-27,,버거킹 차병원사거리점,서울특별시 강남구 봉은사로 179,37.5074822,127.0334248
199,2013-07-02,,카페 스토리웨이,서울특별시 강남구 압구정로 지하,37.5263577,127.0335584
200,2018-07-26,,포레스트,서울특별시 강남구 강남대로 지하,37.5061648,127.0257813
201,2018-06-08,,스타벅스 수서역R점,서울특별시 강남구 광평로 281,37.4880028,127.1026639
202,2015-09-14,,이디야 도산사거리점,서울특별시 강남구 언주로148길 14,37.5204069,127.0360954
203,2013-06-20,,스타벅스커피 역삼대로점,서울특별시 강남구 테헤란로 211,37.5018239,127.0390557
204,2014-03-20,,스타벅스커피 역삼초교사거리점,서울특별시 강남구 역삼로 123,37.4942547,127.0328547
205,2002-03-25,,스타벅스삼성점,서울특별시 강남구 테헤란로 443,37.507038,127.0555548
206,2013-07-11,,사조씨푸드(주),서울특별시 강남구 도산대로 442,37.5233934,127.0436578
207,2013-07-16,,스타벅스커피 삼성도심공항점,서울특별시 강남구 테헤란로87길 33,37.5098065,127.0578853
208,2013-06-18,,스타벅스커피 강남대로점,서울특별시 강남구 강남대로 456,37.5031806,127.0256302
209,2005-04-18,,스타벅스강남구청역점,서울특별시 강남구 선릉로 669,37.5166206,127.0412404
210,2017-09-06,,올리버브라운카페 신논현점,서울특별시 강남구 봉은사로1길 4,37.5051344,127.0253335
211,2001-03-07,,스타벅스압구정역점,서울특별시 강남구 압구정로 170,37.5267409,127.0281182
212,2003-01-10,,하루,서울특별시 강남구 언주로30길 57,37.4897104,127.0544907
